rank,input_1_z,input_1_perturbed_z,input_2_z,input_2_perturbed_z,input_3_z,input_3_perturbed_z,input_4_z,input_4_perturbed_z,input_5_z,input_5_perturbed_z,input_6_z,input_6_perturbed_z,input_7_z,input_7_perturbed_z,input_8_z,input_8_perturbed_z,input_9_z,input_9_perturbed_z,input_10_z,input_10_perturbed_z,input_11_z,input_11_perturbed_z,input_12_z,input_12_perturbed_z,input_13_z,input_13_perturbed_z,input_14_z,input_14_perturbed_z,input_15_z,input_15_perturbed_z,input_16_z,input_16_perturbed_z,input_17_z,input_17_perturbed_z,input_18_z,input_18_perturbed_z,input_19_z,input_19_perturbed_z,input_20_z,input_20_perturbed_z,input_21_z,input_21_perturbed_z,input_22_z,input_22_perturbed_z,input_23_z,input_23_perturbed_z,input_24_z,input_24_perturbed_z,input_25_z,input_25_perturbed_z
1,39.65625,39.65625,-17.75,-17.850000381469727,7.07421875,7.174218654632568,10.03125,10.131250381469728,16.75,16.649999618530273,15.7734375,15.7734375,23.875,23.875,16.21875,16.21875,16.15625,16.056249618530273,-15.40625,-15.506250381469728,25.3125,25.412500381469727,12.8984375,12.904687881469728,13.359375,13.359375,41.25,41.25,-15.8671875,-15.967187881469728,29.5,29.5,49.375,49.375,15.28125,15.28125,14.109375,14.009374618530272,-15.2421875,-15.142187118530272,63.625,63.72499847412109,-16.671875,-16.771875381469727,31.484375,31.484375,9.671875,9.771875381469728,46.1875,46.28749847412109
2,-12.953125,-13.053125381469728,16.859375,16.959375381469727,-6.3203125,-6.420312404632568,9.96875,9.96875,-12.6640625,-12.564062118530272,14.3828125,14.482812881469728,9.828125,9.828125,-15.875,-15.774999618530272,-13.984375,-13.984375,13.40625,13.506250381469728,-22.9375,-23.037500381469727,12.8046875,12.8984375,9.890625,9.990625381469728,-17.9375,-17.9375,-11.828125,-11.928125381469728,11.171875,11.171875,9.7421875,9.7421875,9.6875,9.6875,-13.21875,-13.318750381469728,-14.5625,-14.462499618530272,-17.953125,-17.853124618530273,14.921875,15.021875381469728,-8.65625,-8.756250381469727,7.3671875,7.467187404632568,-13.359375,-13.259374618530272
3,11.890625,11.990625381469728,-14.5,-14.600000381469728,5.7109375,5.810937404632568,9.296875,9.196874618530272,9.25,9.350000381469728,13.859375,13.959375381469728,7.9453125,7.9453125,15.21875,15.21875,-11.90625,-12.006250381469728,-13.0625,-13.162500381469728,-15.25,-15.350000381469728,-12.015625,-12.115625381469728,-9.625,-9.625,-17.3125,-17.412500381469727,11.6953125,11.795312881469728,8.9140625,-9.006250381469727,8.6015625,8.6015625,-7.15625,-7.056250095367432,12.296875,12.396875381469728,-13.8984375,-13.798437118530272,-16.828125,-16.728124618530273,-13.6328125,-13.732812881469728,-8.625,-8.725000381469727,-6.6796875,-6.779687404632568,-11.265625,-11.165624618530272
4,11.78125,11.681249618530272,-10.6796875,-10.779687881469728,-5.60546875,-5.705468654632568,8.890625,8.790624618530273,9.09375,9.09375,-13.453125,-13.353124618530272,-7.703125,-7.803124904632568,-14.078125,-13.978124618530272,11.046875,11.046875,-11.6875,-11.6875,-14.8359375,-14.935937881469728,-11.96875,-12.068750381469728,7.85546875,7.955468654632568,-17.0,-17.100000381469727,-9.171875,-9.271875381469728,-8.90625,8.814062118530273,7.9765625,7.9765625,5.68359375,5.68359375,11.6796875,11.779687881469728,13.109375,13.009374618530272,12.609375,12.509374618530272,-13.375,-13.475000381469728,8.296875,8.196874618530273,-6.6015625,-6.501562595367432,10.703125,10.603124618530272
5,10.546875,10.646875381469728,-9.9375,-9.9375,5.51171875,5.51171875,8.71875,8.71875,-8.28125,-8.181249618530273,-13.0546875,-12.954687118530272,-7.359375,-7.359375,-13.203125,-13.103124618530272,-10.6640625,-10.6640625,11.4921875,11.592187881469728,-14.3828125,-14.482812881469728,-10.515625,-10.615625381469728,-7.484375,-7.584374904632568,-15.3984375,-15.498437881469728,-9.015625,-9.115625381469728,-8.53125,-8.53125,6.890625,6.890625,5.671875,5.671875,10.4921875,10.592187881469728,12.328125,12.328125,11.765625,11.665624618530272,10.515625,-10.459375381469728,-8.1328125,-8.1328125,6.5078125,6.407812595367432,-9.8515625,-9.751562118530272
6,-9.609375,-9.709375381469728,9.84375,9.84375,5.2734375,5.2734375,-8.3515625,-8.3515625,8.03125,7.990624904632568,-13.0078125,-12.907812118530272,7.296875,7.296875,-13.015625,-12.915624618530272,9.453125,9.353124618530272,10.296875,10.296875,14.1875,14.1875,-10.3984375,-10.498437881469728,7.34375,7.279687404632568,15.125,15.225000381469728,8.3984375,8.298437118530273,-7.92578125,-8.025781631469727,6.79296875,6.79296875,-5.56640625,-5.56640625,10.2734375,10.373437881469728,-10.2578125,-10.157812118530272,11.7421875,11.642187118530272,-10.359375,10.415624618530272,7.421875,7.421875,-6.0625,-6.162499904632568,9.390625,9.290624618530272
7,9.59375,9.59375,9.515625,9.415624618530272,-5.1875,-5.1875,-8.140625,-8.240625381469727,7.890625,7.931250095367432,12.6640625,12.564062118530272,-7.2109375,-7.2109375,12.6484375,12.548437118530272,9.0625,9.0625,-9.9453125,-10.045312881469728,11.6328125,11.732812881469728,10.171875,10.15625,-7.2421875,7.243750095367432,-14.4140625,-14.514062881469728,8.140625,8.139062881469727,7.5390625,7.5390625,-6.6875,-6.6875,5.1953125,5.1953125,10.046875,10.146875381469728,10.0390625,10.0390625,-11.6015625,-11.501562118530272,-10.28125,-10.381250381469728,-6.8125,-6.8125,-6.046875,-6.146874904632568,9.2109375,9.110937118530272
8,-9.296875,-9.396875381469728,8.328125,8.328125,-5.125,-5.125,7.9375,7.837500095367432,-7.74609375,-7.846093654632568,-11.171875,-11.071874618530272,-7.06640625,-7.06640625,12.1015625,12.201562881469728,-9.0078125,-9.0078125,-9.84375,-9.743749618530272,11.46875,11.46875,10.15625,10.071874618530272,7.1796875,-7.2421875,-12.484375,-12.484375,8.0390625,-8.045312881469727,7.3203125,7.240624904632568,-6.546875,6.631249904632568,5.171875,5.171875,-9.96875,-9.868749618530272,8.921875,8.821874618530273,-11.5703125,-11.470312118530272,-10.2109375,-10.310937881469728,-6.515625,-6.515625,5.9296875,6.029687404632568,-9.0234375,-9.0234375
9,9.0546875,8.9921875,-8.171875,-8.271875381469727,5.0859375,5.0859375,-7.8046875,-7.8046875,7.734375,7.834374904632568,-10.46875,-10.368749618530272,6.6171875,6.6171875,-10.5234375,10.537500381469728,-8.1796875,-8.264062881469727,9.421875,-9.475000381469728,10.46875,10.46875,-9.3515625,-9.451562881469728,-6.82421875,-6.924218654632568,-12.125,-12.225000381469728,-7.9453125,8.040624618530273,7.140625,7.220312595367432,6.53125,-6.546875,-4.953125,-4.953125,-9.75,-9.649999618530272,8.6875,8.787500381469727,11.296875,11.396875381469728,-10.078125,-10.178125381469728,-6.48046875,-6.48046875,5.6171875,5.545312404632568,8.78125,8.681249618530273
10,8.9921875,8.954687118530273,8.1640625,8.264062881469727,-4.94921875,-4.94921875,-7.53125,-7.53125,-6.91796875,-7.017968654632568,9.3359375,9.296875,-6.5625,-6.5625,10.4375,-10.423437118530272,-8.1640625,-8.079687118530273,-9.375,9.421875,-10.109375,-10.209375381469728,9.28125,9.181249618530272,-6.75390625,-6.853906154632568,10.1171875,10.217187881469728,7.890625,7.990624904632568,6.36328125,6.36328125,5.953125,5.953125,-4.890625,-4.890625,-9.59375,-9.493749618530272,8.4453125,8.345312118530273,-10.390625,-10.290624618530272,9.578125,9.678125381469728,-6.28125,6.373437404632568,-5.56640625,5.517187595367432,8.578125,8.478124618530273
11,-8.5,8.560937881469727,-8.1328125,8.068750381469727,-4.921875,-4.921875,-7.078125,-7.178124904632568,-6.765625,6.701562404632568,9.296875,9.235937118530272,-6.51953125,-6.419531345367432,8.8359375,8.935937881469727,-8.0078125,-8.0078125,8.9765625,8.9765625,9.796875,9.796875,8.140625,8.140625,6.515625,6.515625,9.84375,9.943750381469728,7.58203125,7.482031345367432,6.33203125,6.33203125,-5.93359375,-5.93359375,-4.78515625,-4.78515625,9.0703125,9.170312881469728,-8.390625,-8.290624618530273,10.078125,9.978124618530272,-9.2265625,-9.326562881469728,6.2734375,-6.28125,5.4453125,-5.466406345367432,8.171875,8.171875
12,8.4609375,-8.5,7.96875,-8.032812118530273,4.9140625,4.9140625,-7.03125,-7.03125,-6.71875,-6.665625095367432,-8.6171875,-8.517187118530273,6.39453125,6.39453125,-8.328125,-8.228124618530273,-7.18359375,-7.18359375,-8.3828125,-8.482812881469727,-9.5,-9.600000381469728,-8.109375,-8.109375,-6.49609375,-6.49609375,-9.59375,-9.693750381469728,7.25,7.349999904632568,6.14453125,6.244531154632568,5.4921875,5.502343654632568,4.75390625,4.75390625,-9.0625,-9.162500381469728,8.046875,8.046875,9.8359375,9.935937881469728,-8.546875,-8.446874618530273,-6.15625,-6.15625,-5.40625,-5.306250095367432,7.26953125,7.23046875
13,-7.9921875,-7.9921875,-7.91015625,-7.959374904632568,-4.8984375,-4.8984375,-6.9453125,-6.9453125,6.6015625,-6.618750095367432,-8.3984375,-8.498437881469727,-6.29296875,-6.29296875,-8.15625,-8.056249618530273,-6.7109375,6.65625,-8.1953125,8.271875381469727,-8.59375,-8.693750381469727,7.9296875,7.9296875,6.3515625,6.3515625,9.5703125,9.670312881469728,-6.8984375,-6.998437404632568,-6.1328125,-6.1328125,5.40234375,5.4921875,-4.56640625,-4.56640625,-8.875,-8.975000381469727,-7.73828125,-7.838281154632568,9.453125,9.353124618530272,8.0625,8.162500381469727,-5.97265625,-5.97265625,5.32421875,5.224218845367432,7.23046875,7.169531345367432
14,-7.86328125,-7.86328125,-7.859375,-7.932031154632568,4.8984375,4.8984375,6.578125,6.578125,-6.46875,-6.568749904632568,-8.21875,-8.118749618530273,-6.25,-6.25,-7.4453125,-7.4453125,6.65625,-6.62890625,8.171875,-8.1953125,-8.5703125,-8.670312881469727,-7.59375,-7.685937404632568,-6.296875,-6.296875,-9.328125,-9.428125381469728,-6.7109375,-6.810937404632568,6.0546875,6.0546875,-5.31640625,-5.31640625,4.5625,4.5625,-8.859375,-8.959375381469727,6.9453125,6.9453125,-9.3515625,-9.251562118530272,7.828125,7.728125095367432,5.79296875,5.79296875,-5.21875,5.185937404632568,-6.71484375,-6.614843845367432
15,-7.76171875,-7.830468654632568,-7.83203125,-7.810156345367432,4.890625,4.890625,-6.53515625,-6.53515625,-6.40234375,-6.502343654632568,7.859375,7.959374904632568,-6.1875,-6.1875,-7.2421875,-7.142187595367432,-6.62890625,-6.610937595367432,-8.0625,-8.162500381469727,-8.5625,-8.662500381469727,-7.5859375,-7.493750095367432,-6.296875,-6.296875,-9.0,-9.0,-6.703125,-6.803124904632568,-5.9921875,-5.9921875,-5.265625,-5.265625,-4.5546875,-4.5546875,8.78125,-8.857812881469727,-6.8828125,-6.8828125,-8.6171875,8.646875381469727,7.69140625,7.717187404632568,5.78125,5.78125,-5.203125,5.146874904632568,-6.65625,-6.556250095367432
16,-7.73046875,-7.661718845367432,7.80859375,-7.795312404632568,4.87109375,4.87109375,-6.4609375,6.529687404632568,6.3203125,-6.252343654632568,7.609375,7.509375095367432,-6.15234375,-6.15234375,-7.0,-7.099999904632568,6.35546875,6.35546875,-7.99609375,-8.096094131469727,-8.4375,-8.537500381469727,7.12890625,7.228906154632568,-6.2734375,-6.2734375,-8.96875,-8.96875,6.4453125,6.545312404632568,-5.6953125,-5.6953125,5.2578125,5.2578125,4.5390625,4.5390625,-8.7578125,8.834375381469727,-6.796875,-6.796875,8.546875,-8.6171875,7.6171875,7.591406345367432,-5.72265625,-5.72265625,5.10546875,-5.118750095367432,-6.54296875,-6.54296875
17,7.66796875,7.567968845367432,-7.7734375,-7.7734375,-4.76953125,-4.76953125,-6.453125,-6.4609375,-6.265625,6.220312595367432,-7.4609375,-7.360937595367432,6.046875,6.046875,-6.8984375,-6.798437595367432,-6.27734375,-6.27734375,-7.9296875,-7.829687595367432,-8.0859375,-8.185937881469727,7.05859375,7.05859375,-6.1875,-6.1484375,-8.4453125,-8.4453125,-6.41015625,-6.322656154632568,5.62890625,5.62890625,5.11328125,5.11328125,-4.51171875,4.514062404632568,8.734375,8.681249618530273,-6.7734375,-6.7734375,-8.015625,-8.115625381469727,-7.23046875,-7.330468654632568,-5.62890625,-5.62890625,-5.1015625,-5.103125095367432,-6.421875,-6.357812404632568
18,-7.1171875,-7.1171875,-7.6953125,7.708593845367432,4.76171875,4.661718845367432,6.4296875,-6.453125,6.24609375,-6.165625095367432,-7.3359375,-7.3359375,-6.0,-6.0,-6.40625,-6.40625,6.2734375,6.2734375,7.4296875,7.4296875,-7.609375,-7.709374904632568,7.0546875,7.0546875,-6.1484375,6.11328125,8.2265625,8.2265625,-6.22265625,-6.310156345367432,5.5859375,5.5859375,4.9453125,4.9453125,-4.48828125,-4.51171875,8.6484375,8.560937881469727,6.62109375,6.5546875,-7.99609375,-7.99609375,6.96875,-7.021874904632568,-5.625,-5.625,5.0859375,-5.021874904632568,6.296875,-6.321875095367432
19,-7.109375,-7.109375,-7.5078125,-7.607812404632568,4.75,4.65625,-6.421875,-6.3671875,6.234375,6.146093845367432,-7.171875,-7.171875,-5.953125,-5.921875,6.296875,6.196875095367432,6.06640625,6.06640625,7.4296875,7.4296875,7.47265625,7.4453125,6.8984375,6.8984375,6.11328125,-6.087500095367432,7.73046875,7.73046875,-6.16796875,-6.248437404632568,-5.359375,-5.359375,-4.8203125,-4.8203125,4.48046875,-4.48828125,8.4609375,8.548437118530273,6.5546875,6.521093845367432,7.890625,7.790625095367432,-6.921875,6.868750095367432,5.546875,5.546875,5.07421875,5.005468845367432,-6.27734375,-6.27734375
20,6.984375,6.984375,-7.32421875,-7.32421875,4.7109375,4.650000095367432,-6.3671875,-6.321875095367432,6.19140625,6.134375095367432,7.03515625,7.03515625,-5.921875,5.875,6.09765625,6.170312404632568,-6.01171875,-6.01171875,-7.3125,-7.412499904632568,7.4453125,7.443749904632568,-6.7890625,-6.889062404632568,-6.03125,-6.03125,7.375,7.375,-6.1484375,-6.084374904632568,-5.35546875,-5.35546875,4.79296875,4.79296875,-4.47265625,4.48046875,-8.1328125,8.060937881469727,6.43359375,6.43359375,-7.6640625,-7.764062404632568,6.8984375,6.798437595367432,-5.51171875,-5.51171875,-5.06640625,-5.001562595367432,-6.2578125,6.196875095367432
