input_id,epsilon,z_rank1_idx,z_rank1_val,z_rank2_idx,z_rank2_val,z_rank3_idx,z_rank3_val,z_rank4_idx,z_rank4_val,z_rank5_idx,z_rank5_val,z_rank6_idx,z_rank6_val,z_rank7_idx,z_rank7_val,z_rank8_idx,z_rank8_val,z_rank9_idx,z_rank9_val,z_rank10_idx,z_rank10_val,z_rank11_idx,z_rank11_val,z_rank12_idx,z_rank12_val,z_rank13_idx,z_rank13_val,z_rank14_idx,z_rank14_val,z_rank15_idx,z_rank15_val,z_rank16_idx,z_rank16_val,z_rank17_idx,z_rank17_val,z_rank18_idx,z_rank18_val,z_rank19_idx,z_rank19_val,z_rank20_idx,z_rank20_val
1,0.1,1512,39.65625,1927,-12.953125,392,11.890625,3971,11.78125,269,10.546875,2660,-9.609375,2358,9.59375,2184,-9.296875,3402,9.0546875,3830,8.9921875,2604,-8.5,2330,8.4609375,2977,-7.9921875,1130,-7.86328125,1360,-7.76171875,486,-7.73046875,3241,7.66796875,272,-7.1171875,3582,-7.109375,3981,6.984375
2,0.1,1360,-17.75,3241,16.859375,2660,-14.5,3684,-10.6796875,1176,-9.9375,3830,9.84375,269,9.515625,1314,8.328125,2021,-8.171875,3971,8.1640625,486,-8.1328125,392,7.96875,2084,-7.91015625,2184,-7.859375,3556,-7.83203125,2358,7.80859375,2281,-7.7734375,2604,-7.6953125,1839,-7.5078125,1888,-7.32421875
3,0.1,3241,7.07421875,1839,-6.3203125,2004,5.7109375,1176,-5.60546875,3727,5.51171875,2575,5.2734375,273,-5.1875,1927,-5.125,3831,5.0859375,2404,-4.94921875,3905,-4.921875,3743,4.9140625,2002,-4.8984375,1026,4.8984375,1788,4.890625,3028,4.87109375,445,-4.76953125,3200,4.76171875,269,4.75,197,4.7109375
4,0.1,392,10.03125,2298,9.96875,3241,9.296875,3402,8.890625,1512,8.71875,514,-8.3515625,2042,-8.140625,3971,7.9375,2084,-7.8046875,2425,-7.53125,1927,-7.078125,1598,-7.03125,4053,-6.9453125,2118,6.578125,2611,-6.53515625,4076,-6.4609375,3197,-6.453125,3839,6.4296875,2660,-6.421875,3,-6.3671875
5,0.1,3241,16.75,1360,-12.6640625,2617,9.25,269,9.09375,3556,-8.28125,3402,8.03125,3839,7.890625,2042,-7.74609375,3971,7.734375,2771,-6.91796875,3391,-6.765625,2660,-6.71875,2569,6.6015625,1927,-6.46875,2004,-6.40234375,3383,6.3203125,380,-6.265625,1838,6.24609375,4090,6.234375,2358,6.19140625
6,0.1,3241,15.7734375,787,14.3828125,1415,13.859375,2611,-13.453125,1839,-13.0546875,2084,-13.0078125,3444,12.6640625,3684,-11.171875,1360,-10.46875,149,9.3359375,3700,9.296875,3556,-8.6171875,1927,-8.3984375,2021,-8.21875,3909,7.859375,470,7.609375,1573,-7.4609375,1681,-7.3359375,2357,-7.171875,3402,7.03515625
7,0.1,1512,23.875,525,9.828125,2118,7.9453125,2617,-7.703125,3967,-7.359375,392,7.296875,486,-7.2109375,3637,-7.06640625,2813,6.6171875,2021,-6.5625,347,-6.51953125,2330,6.39453125,2660,-6.29296875,1176,-6.25,148,-6.1875,1324,-6.15234375,3241,6.046875,2509,-6.0,517,-5.953125,3482,-5.921875
8,0.1,3241,16.21875,3556,-15.875,3444,15.21875,2084,-14.078125,1360,-13.203125,1839,-13.015625,3971,12.6484375,1415,12.1015625,2611,-10.5234375,787,10.4375,3909,8.8359375,2660,-8.328125,1573,-8.15625,2357,-7.4453125,2021,-7.2421875,1640,-7.0,1681,-6.8984375,4076,-6.40625,470,6.296875,3150,6.09765625
9,0.1,3241,16.15625,2084,-13.984375,1360,-11.90625,392,11.046875,2660,-10.6640625,3971,9.453125,269,9.0625,1176,-9.0078125,3556,-8.1796875,4076,-8.1640625,1839,-8.0078125,2281,-7.18359375,2021,-6.7109375,1512,6.65625,1927,-6.62890625,2358,6.35546875,2184,-6.27734375,3150,6.2734375,3830,6.06640625,1681,-6.01171875
10,0.1,2084,-15.40625,3700,13.40625,2660,-13.0625,1176,-11.6875,3971,11.4921875,3444,10.296875,2042,-9.9453125,1839,-9.84375,3830,9.421875,3684,-9.375,4053,8.9765625,1360,-8.3828125,257,-8.1953125,3402,8.171875,2622,-8.0625,4076,-7.99609375,3061,-7.9296875,525,7.4296875,3826,7.4296875,2281,-7.3125
11,0.1,3241,25.3125,1360,-22.9375,1839,-15.25,2084,-14.8359375,2660,-14.3828125,392,14.1875,787,11.6328125,1512,11.46875,3971,10.46875,3556,-10.109375,269,9.796875,3494,-9.5,1640,-8.59375,2021,-8.5703125,2002,-8.5625,3684,-8.4375,1573,-8.0859375,4076,-7.609375,2617,7.47265625,3383,7.4453125
12,0.1,1512,12.8984375,3241,12.8046875,1360,-12.015625,3556,-11.96875,2660,-10.515625,2084,-10.3984375,2358,10.171875,3402,10.15625,1839,-9.3515625,2617,9.28125,3971,8.140625,2002,-8.109375,3591,7.9296875,3208,-7.59375,2021,-7.5859375,1415,7.12890625,2215,7.05859375,3700,7.0546875,787,6.8984375,1573,-6.7890625
13,0.1,1512,13.359375,3556,9.890625,317,-9.625,1573,7.85546875,787,-7.484375,3700,7.34375,74,-7.2421875,1176,7.1796875,2891,-6.82421875,1927,-6.75390625,269,6.515625,3800,-6.49609375,2357,6.3515625,2425,-6.296875,2169,-6.296875,692,-6.2734375,994,-6.1875,3224,-6.1484375,1740,6.11328125,2660,-6.03125
14,0.1,1512,41.25,2660,-17.9375,1839,-17.3125,2084,-17.0,3556,-15.3984375,3241,15.125,1360,-14.4140625,2002,-12.484375,1573,-12.125,3402,10.1171875,149,9.84375,2021,-9.59375,470,9.5703125,2611,-9.328125,2209,-9.0,1640,-8.96875,3208,-8.4453125,3142,8.2265625,1415,7.73046875,3826,7.375
15,0.1,1360,-15.8671875,2660,-11.828125,3241,11.6953125,2084,-9.171875,1927,-9.015625,269,8.3984375,392,8.140625,3830,8.0390625,1839,-7.9453125,3971,7.890625,2358,7.58203125,2533,7.25,3494,-6.8984375,3582,-6.7109375,2021,-6.703125,1415,6.4453125,486,-6.41015625,3263,-6.22265625,590,-6.16796875,3967,-6.1484375
16,0.1,1512,29.5,392,11.171875,3402,8.9140625,1927,-8.90625,2042,-8.53125,2533,-7.92578125,2358,7.5390625,3971,7.3203125,269,7.140625,2573,6.36328125,2002,6.33203125,1573,6.14453125,514,-6.1328125,933,6.0546875,2184,-5.9921875,57,-5.6953125,45,5.62890625,20,5.5859375,511,-5.359375,2624,-5.35546875
17,0.1,1512,49.375,2002,9.7421875,3591,8.6015625,3700,7.9765625,1176,6.890625,3402,6.79296875,2042,-6.6875,3391,-6.546875,2084,6.53125,112,5.953125,2281,-5.93359375,286,5.4921875,1573,5.40234375,3937,-5.31640625,41,-5.265625,3448,5.2578125,235,5.11328125,171,4.9453125,2497,-4.8203125,1604,4.79296875
18,0.1,1512,15.28125,3402,9.6875,2660,-7.15625,2617,5.68359375,3366,5.671875,3208,-5.56640625,4053,5.1953125,3444,5.171875,2806,-4.953125,1870,-4.890625,794,-4.78515625,548,4.75390625,4009,-4.56640625,682,4.5625,2021,-4.5546875,3097,4.5390625,4076,-4.51171875,2042,-4.48828125,2364,4.48046875,1908,-4.47265625
19,0.1,392,14.109375,2084,-13.21875,1512,12.296875,3241,11.6796875,3971,10.4921875,3402,10.2734375,3830,10.046875,1003,-9.96875,1927,-9.75,2357,-9.59375,3170,9.0703125,4076,-9.0625,2660,-8.875,1176,-8.859375,2617,8.78125,1360,-8.7578125,2298,8.734375,2330,8.6484375,787,8.4609375,514,-8.1328125
20,0.1,1839,-15.2421875,2660,-14.5625,1360,-13.8984375,3241,13.109375,392,12.328125,2084,-10.2578125,3830,10.0390625,269,8.921875,3402,8.6875,787,8.4453125,1573,-8.390625,1512,8.046875,2604,-7.73828125,3971,6.9453125,2281,-6.8828125,1888,-6.796875,3561,-6.7734375,1825,6.62109375,3037,6.5546875,220,6.43359375
21,0.1,1512,63.625,1360,-17.953125,2660,-16.828125,3402,12.609375,3241,11.765625,3700,11.7421875,3556,-11.6015625,1839,-11.5703125,269,11.296875,1335,-10.390625,2215,10.078125,4053,9.8359375,787,9.453125,3839,-9.3515625,2611,-8.6171875,3591,8.546875,1,-8.015625,3224,-7.99609375,2357,7.890625,1745,-7.6640625
22,0.1,1360,-16.671875,3241,14.921875,2084,-13.6328125,2660,-13.375,2358,10.515625,2002,-10.359375,1176,-10.28125,3684,-10.2109375,2021,-10.078125,392,9.578125,1839,-9.2265625,4076,-8.546875,3971,8.0625,3700,7.828125,269,7.69140625,787,7.6171875,3582,-7.23046875,3402,6.96875,1681,-6.921875,191,6.8984375
23,0.1,1512,31.484375,1360,-8.65625,2660,-8.625,269,8.296875,2002,-8.1328125,2004,7.421875,1927,-6.8125,1839,-6.515625,3700,-6.48046875,2404,-6.28125,704,6.2734375,3554,-6.15625,1176,-5.97265625,3241,5.79296875,1312,5.78125,3666,-5.72265625,2281,-5.62890625,4000,-5.625,3195,5.546875,1583,-5.51171875
24,0.1,3241,9.671875,3402,7.3671875,2368,-6.6796875,2660,-6.6015625,392,6.5078125,3556,-6.0625,1076,-6.046875,787,5.9296875,1465,5.6171875,1839,-5.56640625,3837,5.4453125,531,-5.40625,1830,5.32421875,2643,-5.21875,1314,-5.203125,3565,5.10546875,1927,-5.1015625,45,5.0859375,3432,5.07421875,970,-5.06640625
25,0.1,1512,46.1875,2660,-13.359375,1839,-11.265625,3402,10.703125,1360,-9.8515625,112,9.390625,4053,9.2109375,3800,-9.0234375,392,8.78125,3700,8.578125,269,8.171875,3241,7.26953125,3971,7.23046875,4076,-6.71484375,21,-6.65625,1803,-6.54296875,3839,-6.421875,1893,6.296875,1018,-6.27734375,590,-6.2578125
