num_neurons_perturbed,baseline_min_epsilon,baseline_avg_epsilon,baseline_max_epsilon,constrained_min_epsilon,constrained_avg_epsilon,constrained_max_epsilon
1,0.1,46.276,94.1,0.1,43.688,97.7
2,1.1,27.204,69.3,1.2,28.476,58.1
3,0.8,19.6,45.9,0.9,19.828,48.8
4,0.7,14.712,36.4,0.8,15.332,39.5
5,0.6,11.964,28.9,0.6,12.384,32.6
6,0.5,10.08,25.2,0.5,10.452,30.0
7,0.4,7.6483,24.7,0.4,7.8586,26.0
8,0.9,8.372,20.3,0.8,8.724,21.7
9,0.8,6.9304,20.1,0.7,7.0913,20.9
10,0.7,6.504,19.2,0.6,6.684,20.0
11,0.6,5.7037,18.0,0.5,5.7296,17.7
12,0.3,4.4167,16.6,0.3,4.45,15.8
13,0.6,5.532,14.0,0.6,5.696,15.0
14,0.5,4.0654,12.0,0.5,4.1462,12.8
15,0.5,4.48,13.2,0.5,4.5,13.2
16,0.7,4.2833,12.6,0.7,4.3667,12.5
17,0.4,3.932,11.9,0.4,3.936,11.3
18,0.9,4.1435,10.8,0.8,4.1522,10.1
19,0.4,2.8806,9.8,0.4,2.9,10.0
20,0.8,3.8318,9.2,0.8,3.8727,9.8
21,0.2,1.5049,9.1,0.2,1.5295,9.7
22,0.3,2.4194,9.0,0.2,2.4389,9.7
23,0.5,2.5708,7.9,0.5,2.5792,7.8
24,1.5,3.3,8.5,1.5,3.3304,8.7
25,1.5,3.3947,8.3,1.5,3.3842,8.3
26,0.3,2.0333,8.1,0.3,2.0476,8.1
27,1.4,3.0706,7.9,1.4,3.0706,7.8
28,1.3,2.6115,7.6,1.3,2.65,7.8
29,0.4,2.1071,7.4,0.4,2.1179,7.6
30,1.2,2.845,7.2,1.2,2.845,7.3
31,0.5,2.3036,6.9,0.5,2.3107,6.9
32,1.1,2.688,6.7,1.1,2.696,6.6
33,1.5,2.7625,6.5,1.5,2.7688,6.4
34,1.1,2.225,6.3,1.1,2.2458,6.2
35,0.2,0.8893,6.1,0.2,0.8857,6.0
36,1.0,2.465,6.0,1.0,2.46,5.8
37,1.1,2.3375,5.7,1.0,2.325,5.7
38,0.3,1.2214,5.6,0.3,1.23,5.6
39,1.8,3.1333,5.5,1.8,3.1,5.4
40,0.2,0.7522,5.3,0.2,0.7552,5.3
41,1.0,1.94,5.2,1.0,1.9467,5.2
42,0.9,1.8111,5.1,0.9,1.8148,5.0
43,1.8,2.9,5.0,1.8,2.9,5.0
44,1.3,2.0,4.9,1.3,2.0167,4.8
45,0.8,1.876,4.7,0.8,1.888,4.8
46,0.9,1.5682,4.4,0.9,1.5636,4.4
47,0.8,1.5759,4.6,0.8,1.5793,4.5
48,2.3,2.8333,4.5,2.3,2.8333,4.5
49,1.3,2.175,4.4,1.3,2.175,4.4
50,1.0,1.7179,4.3,1.0,1.7321,4.3
51,0.8,1.9133,4.2,0.8,1.9067,4.2
52,0.3,0.7912,3.9,0.3,0.7982,3.8
53,0.7,1.7619,4.1,0.7,1.7667,4.1
54,0.7,1.25,3.7,0.7,1.2529,3.7
55,2.0,2.4353,4.0,2.0,2.4412,4.0
56,0.9,1.3308,3.5,0.9,1.3385,3.5
57,0.2,0.2544,3.9,0.2,0.2544,3.9
58,0.7,1.4447,3.8,0.7,1.4526,3.8
59,0.1,0.1059,3.7,0.1,0.106,3.7
60,0.7,1.1718,3.3,0.7,1.1897,3.3
61,1.8,2.55,3.6,1.8,2.5375,3.6
62,0.9,1.5963,3.5,0.9,1.6037,3.6
63,0.6,0.9957,2.3,0.6,1.0043,2.3
64,0.6,0.9825,3.1,0.6,0.9825,3.1
65,1.3,1.7833,3.4,1.3,1.775,3.4
66,1.3,1.8,3.0,1.3,1.8071,3.0
67,1.2,1.6579,3.3,1.2,1.6632,3.3
68,1.0,1.3471,2.9,1.0,1.3471,2.9
69,0.6,1.06,3.2,0.6,1.06,3.2
70,1.0,1.4143,2.8,1.0,1.4333,2.8
71,0.8,1.2735,3.1,0.8,1.2765,3.1
72,0.1,0.1062,1.6,0.1,0.1062,1.6
73,1.5,1.9867,2.7,1.5,1.98,2.7
74,0.7,1.2259,3.0,0.7,1.2333,3.0
75,1.1,1.1438,1.2,1.1,1.15,1.2
76,0.9,0.9,0.9,0.9,0.91,1.0
77,0.5,0.91,2.6,0.5,0.9067,2.6
78,0.5,1.0628,2.9,0.5,1.0628,2.9
79,0.9,1.0944,1.4,0.8,1.0889,1.4
80,0.2,0.3212,2.5,0.1,0.3202,2.5
81,0.7,1.0706,2.8,0.6,1.0588,2.8
82,1.1,1.6222,2.4,1.1,1.6111,2.4
83,0.5,0.7172,1.4,0.5,0.7172,1.4
84,1.0,1.3147,2.7,1.0,1.3176,2.7
85,0.9,0.9,0.9,0.9,0.925,1.0
86,0.8,1.1846,2.3,0.8,1.1885,2.3
87,0.6,0.7467,1.0,0.6,0.7533,1.1
88,0.1,0.1069,2.6,0.1,0.1069,2.6
90,0.8,1.0982,2.2,0.7,1.1,2.2
91,1.3,1.3,1.3,1.3,1.3111,1.4
92,2.5,2.5,2.5,2.5,2.5,2.5
93,1.6,1.6,1.6,1.6,1.6,1.6
94,1.2,1.2,1.2,1.2,1.2,1.2
95,0.6,0.7419,1.0,0.6,0.7452,1.1
96,0.9,1.3773,2.4,0.9,1.3773,2.4
98,0.4,0.53,0.9,0.4,0.534,1.0
99,0.4,0.7327,2.3,0.4,0.7345,2.3
100,0.7,1.0,1.5,0.7,1.0053,1.5
101,2.0,2.0,2.0,1.9,1.98,2.0
102,0.9,0.9,0.9,0.9,0.9,0.9
103,1.1,1.1,1.1,1.1,1.1,1.1
104,0.8,1.15,2.2,0.8,1.15,2.2
105,0.4,0.5952,0.8,0.4,0.6012,0.9
106,0.5,0.8107,1.9,0.5,0.8125,1.9
108,1.4,1.4,1.4,1.4,1.4,1.4
110,0.8,1.1667,2.1,0.8,1.1722,2.1
111,0.8,0.8,0.8,0.8,0.8059,0.9
113,0.4,0.5714,1.8,0.3,0.5694,1.8
114,1.0,1.0,1.0,1.0,1.0071,1.1
115,0.5,0.5,0.5,0.5,0.5,0.5
117,0.8,0.8,0.8,0.8,0.8,0.8
118,1.3,1.3,1.3,1.3,1.3,1.3
119,1.7,1.8263,2.0,1.7,1.8263,2.0
120,0.6,0.6,0.6,0.6,0.6034,0.7
122,0.7,0.7,0.7,0.7,0.7,0.7
123,1.0,1.0,1.0,1.0,1.0062,1.1
124,0.1,0.1036,1.0,0.1,0.1036,1.0
125,0.6,0.688,0.8,0.6,0.688,0.8
127,1.9,1.9,1.9,1.8,1.8875,1.9
128,0.7,0.7537,0.9,0.7,0.7567,0.9
130,1.2,1.3739,1.6,1.2,1.3696,1.6
131,0.7,0.7,0.7,0.7,0.72,0.8
135,0.3,0.4348,1.8,0.3,0.436,1.8
136,0.4,0.4962,0.7,0.4,0.4974,0.7
138,0.3,0.3,0.3,0.3,0.3012,0.4
139,0.9,0.9,0.9,0.9,0.9,0.9
140,0.9,1.1182,1.5,0.9,1.1182,1.5
143,0.3,0.6026,1.7,0.3,0.606,1.8
145,0.6,0.6,0.6,0.6,0.6029,0.7
146,0.4,0.5108,0.8,0.4,0.5108,0.8
147,0.7,0.7,0.7,0.7,0.7,0.7
149,0.5,0.5,0.5,0.5,0.5023,0.6
152,0.6,0.8133,1.4,0.6,0.8133,1.4
153,0.5,0.5463,0.6,0.4,0.5463,0.7
156,0.3,0.3,0.3,0.2,0.2989,0.3
158,0.8,1.08,1.6,0.8,1.08,1.6
161,0.6,0.7581,1.0,0.6,0.7593,1.0
164,1.3,1.3,1.3,1.2,1.2938,1.3
169,0.7,0.7,0.7,0.7,0.7032,0.8
172,0.1,0.1046,1.5,0.1,0.1046,1.6
175,0.6,0.6,0.6,0.6,0.6,0.6
176,0.6,0.6,0.6,0.6,0.6104,0.7
180,0.5,0.6608,1.2,0.5,0.6595,1.2
181,0.9,0.9,0.9,0.9,0.9,0.9
184,0.7,0.7,0.7,0.7,0.7027,0.8
185,0.5,0.6612,1.4,0.5,0.6642,1.4
189,0.3,0.4046,0.7,0.3,0.4059,0.8
191,0.5,0.5,0.5,0.5,0.5018,0.6
192,0.4,0.4,0.4,0.4,0.4,0.4
197,0.4,0.6558,1.3,0.4,0.655,1.3
199,0.5,0.5,0.5,0.5,0.5016,0.6
200,0.6,0.6,0.6,0.6,0.6,0.6
206,0.3,0.3,0.3,0.3,0.3,0.3
208,0.8,0.8,0.8,0.8,0.8,0.8
214,1.2,1.2,1.2,1.1,1.1957,1.2
216,0.2,0.2,0.2,0.2,0.2,0.2
219,0.2,0.3029,1.0,0.2,0.3029,1.0
221,0.6,0.6,0.6,0.6,0.6019,0.7
227,0.2,0.2,0.2,0.2,0.2,0.2
229,0.6,0.6,0.6,0.6,0.6,0.6
237,0.4,0.5433,1.1,0.4,0.5441,1.1
240,0.4,0.4,0.4,0.4,0.401,0.5
243,0.5,0.5,0.5,0.5,0.5045,0.6
244,0.7,0.7,0.7,0.7,0.7,0.7
245,0.5,0.6236,0.9,0.5,0.6236,0.9
246,0.4,0.4,0.4,0.4,0.4019,0.5
247,0.2,0.2,0.2,0.1,0.1997,0.2
263,0.4,0.5519,1.0,0.4,0.5519,1.0
273,0.3,0.3629,0.5,0.3,0.3637,0.6
278,0.3,0.3,0.3,0.3,0.3,0.3
279,0.8,0.8,0.8,0.8,0.8,0.8
280,0.4,0.4,0.4,0.4,0.4,0.4
288,0.5,0.5,0.5,0.5,0.5011,0.6
294,0.6,0.6,0.6,0.6,0.6014,0.7
302,0.2,0.2663,0.9,0.2,0.2667,1.0
321,0.4,0.4,0.4,0.4,0.4,0.4
323,0.7,0.7,0.7,0.7,0.7,0.7
331,0.2,0.2,0.2,0.2,0.2002,0.3
338,0.3,0.3,0.3,0.3,0.3,0.3
339,0.3,0.3,0.3,0.3,0.3005,0.4
345,0.8,0.8,0.8,0.8,0.8,0.8
349,0.3,0.3,0.3,0.3,0.3004,0.4
354,0.4,0.4,0.4,0.4,0.4047,0.5
357,0.4,0.4,0.4,0.4,0.4006,0.5
367,0.5,0.5,0.5,0.5,0.5009,0.6
378,0.3,0.3,0.3,0.3,0.3,0.3
382,0.4,0.4,0.4,0.4,0.4,0.4
386,0.6,0.6,0.6,0.5,0.599,0.6
394,0.3,0.3,0.3,0.3,0.3,0.3
410,0.7,0.7,0.7,0.7,0.701,0.8
454,0.2,0.2,0.2,0.2,0.2,0.2
456,0.2,0.2,0.2,0.2,0.2003,0.3
457,0.3,0.3,0.3,0.3,0.3003,0.4
483,0.4,0.4,0.4,0.4,0.4,0.4
485,0.5,0.5,0.5,0.5,0.5,0.5
501,0.1,0.1,0.1,0.1,0.1,0.2
508,0.6,0.6,0.6,0.6,0.6,0.6
511,0.3,0.3,0.3,0.3,0.3003,0.4
512,0.1,0.1,0.1,0.1,0.1,0.2
524,0.1,0.1,0.1,0.1,0.1001,0.2
539,0.3,0.3,0.3,0.3,0.3003,0.4
545,0.3,0.3,0.3,0.3,0.3011,0.4
561,0.2,0.2,0.2,0.2,0.2003,0.3
562,0.2,0.2,0.2,0.2,0.2001,0.3
581,0.1,0.1,0.1,0.1,0.1,0.1
596,0.2,0.2,0.2,0.2,0.2002,0.3
636,0.2,0.2,0.2,0.2,0.2001,0.3
642,0.4,0.4,0.4,0.4,0.4,0.4
643,0.5,0.5,0.5,0.5,0.5,0.5
673,0.2,0.2,0.2,0.2,0.2,0.2
695,0.3,0.3,0.3,0.3,0.3,0.3
713,0.1,0.1,0.1,0.1,0.1001,0.2
770,0.1,0.1,0.1,0.1,0.1,0.2
781,0.2,0.2,0.2,0.2,0.2001,0.3
870,0.2,0.2,0.2,0.2,0.2001,0.3
871,0.4,0.4,0.4,0.4,0.4,0.4
927,0.2,0.2,0.2,0.2,0.2001,0.3
952,0.3,0.3,0.3,0.3,0.3001,0.4
985,0.2,0.2,0.2,0.2,0.2003,0.3
1146,0.1,0.1,0.1,0.1,0.1001,0.2
1147,0.1,0.1,0.1,0.1,0.1,0.2
1222,0.2,0.2,0.2,0.2,0.2,0.3
1344,0.3,0.3,0.3,0.3,0.3001,0.4
1472,0.1,0.1,0.1,0.1,0.1002,0.2
1495,0.1,0.1,0.1,0.1,0.1001,0.2
1629,0.1,0.1,0.1,0.1,0.1002,0.2
1720,0.2,0.2,0.2,0.2,0.2,0.2
1724,0.1,0.1,0.1,0.1,0.1001,0.2
1884,0.1,0.1,0.1,0.1,0.1001,0.2
2310,0.1,0.1,0.1,0.1,0.1002,0.2
2701,0.1,0.1,0.1,0.1,0.1005,0.2
2841,0.2,0.2,0.2,0.2,0.2003,0.3
3362,0.1,0.1,0.1,0.1,0.1018,0.2
